計劃名稱,True Label,Predict Label
建立多模組運輸事故調查能量計畫(1/4),警政與法務,智慧交通
整合智慧讀表平台發展計畫(1/4),能源;國家標準檢驗,AI、雲端、巨量資料
產業升級轉型行動計畫(1/4),傳統產業高值化,傳統產業高值化
加速行動寬頻服務及產業發展計畫(1/3)-推動中小企業4G行動商務應用服務計畫,電商與物流,電商與物流
地價查估技術精進與實價登錄資料應用發展計畫(4/5),數位轉型與智慧政府,數位轉型與智慧政府
生技醫藥國家型科技計畫 - 研究群組暨資源中心年度綱要計畫(5/6),生技醫藥與精準醫療,生技醫藥與精準醫療
基礎科學研究計畫(1/1),科研計畫補助,科研計畫補助
強化坡地環境地質與防災應用(4/4),災害防救,災害防救;氣候變遷與減碳
海空運輸系統營運效能與技術提升科技研發計畫(1/4),智慧交通,智慧交通
建構民生公共物聯網(2/4),災害防救;物聯網,災害防救;物聯網
智能電動車輛產業推動計畫(1/4),運輸載具,運輸載具
打開歷史任意門：臺灣歷史創新科技體驗建置計畫(3/4),文化,文化
實驗動物模式暨轉譯醫學之研究(4/6),生技醫藥與精準醫療,生技醫藥與精準醫療
製造智慧化關鍵技術躍升綱要計畫(4/4),智慧製造,智慧製造
強化偏鄉地區5G寬頻服務與涵蓋─補助業者於偏鄉地區建置行動寬頻基地臺計畫(1/5),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
建構民生公共物聯網計畫(3/4),災害防救;物聯網,災害防救;物聯網
重要活動斷層構造特性調查研究(4/4),災害防救,災害防救
新世代化學材料產業輔導與推廣計畫(3/4),化工材料與循環經濟,化工材料與循環經濟
水旱災整備及應變科技之研究(4/4),災害防救,災害防救
強地動觀測第5期計畫(1/6)-強震即時警報於防災之應用,災害防救,災害防救
加速肝功能量化正子造影劑之產業化(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療
銀髮智慧長照及科技服務創新模式開發計畫(3/4),智慧醫療,智慧醫療
醫衛生命科技研究綱要計畫(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
國家度量衡標準實驗室整體運作及發展計畫(3/4),國家標準檢驗,國家標準檢驗
加速行動寬頻服務及產業發展計畫(2/3)-推廣校園4G創新應用服務,網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
奈米國家型科技計畫-奈米技術產業化推動計畫(6/6),化工材料與循環經濟,
區域性儲能設備技術示範驗證計畫(4/4),能源,能源
永續提供高品質醫療服務(1/4),長照與社會福利,長照與社會福利
醫療感染控制發展計畫(3/4),防疫,防疫
生技醫藥國家型科技計畫-核心設施及產業推動(5/6),生技醫藥與精準醫療,生技醫藥與精準醫療
智慧創新研究中心推升計畫(4/5),AI、雲端、巨量資料,AI、雲端、巨量資料
產業創新價值卓越計畫(3/4),中小（堅）企業輔導,中小（堅）企業輔導
商業服務業經濟情勢分析與我國策略規劃(4/4),政策規劃與推動,中小（堅）企業輔導
強化區域合作─推動中南部智慧機械及航太產業升級計畫(2/4),太空/衛星;智慧製造,太空/衛星;智慧製造
水體環境污染感測、鑑識調查與物聯網應用研究開發計畫(3/4),環境監測與污染防治,環境監測與污染防治
健康雲跨領域研究：巨量健康資訊科技之研發與應用(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
商業服務價值提升計畫(2/4),中小（堅）企業輔導,中小（堅）企業輔導
低碳排放之無機聚合綠色水泥及混凝土製備研究(1/4),化工材料與循環經濟,化工材料與循環經濟
學校防減災及氣候變遷調適教育精進計畫(2/4),災害防救,災害防救
深耕工業基礎技術專案計畫(3/4),產業人才培育,產業人才培育
永續林業與生物多樣性綱要計畫(1/4),氣候變遷與減碳,氣候變遷與減碳
海洋防災科技及永續發展計畫(2/4),災害防救,災害防救
能源國家型科技計畫-纖維酒精產業推廣平台及加值化生質精煉技術之研發(2/5),能源,能源
海洋科技發展計畫(2/4),海洋科技,海洋科技
自動駕駛感知次系統攻堅計畫(3/4),自動駕駛,自動駕駛
跨域數位人才加速躍升計畫(2/4),產業人才培育,產業人才培育
關務服務資源整合計畫(2/4),數位轉型與智慧政府,數位轉型與智慧政府
企業創新研發淬鍊及產學研價值創造綱要計畫(4/4),工研院與A+,工研院與A+
核設施除役產生放射性廢棄物處理與處置技術研發(2/4),能源,能源
擴大中小企業5G創新服務應用計畫(1/5),數位轉型與智慧政府,數位轉型與智慧政府
培育優秀學者養成計畫(1/4),人才補助與延攬,人才補助與延攬
「提昇法醫鑑識量能計畫」(1/4),警政與法務,警政與法務
研發成果推廣及科學園區業務推動計畫(1/1),創新創業,創新創業
區域創新走廊產業科技發展綱要計畫(3/4),傳統產業高值化,氣候變遷與減碳
中小企業行動支付普及推升計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府
國立科學工業園區實驗高級中學綠能科技教學拓展計畫(1/1),校園人才培育,校園人才培育
科技計畫規劃與管理計畫(2/4),政策規劃與推動,政策規劃與推動
民生產業轉型輔導計畫(1/4),傳統產業高值化,傳統產業高值化
學校防減災及氣候變遷調適教育精進計畫(1/4),災害防救,災害防救
新一代數位學習計畫(4/4),數位學習,數位學習
文化科技創新應用研究計畫(1/1),文化,文化
生醫產業與新農業跨領域人才培育計畫(1/4),產業人才培育;生技醫藥與精準醫療,產業人才培育;生技醫藥與精準醫療
110年度「節約能源技術研發計畫」(3/3),能源,能源
餐飲業科技應用推動計畫(1/1),中小（堅）企業輔導,中小（堅）企業輔導
商業場域科技應用示範推動計畫(1/4),中小（堅）企業輔導,中小（堅）企業輔導
107年度「能源效率管理與節能技術推廣輔導」(1/1),能源,能源
推動工業合作計畫(2/4),國防;運輸載具,國防;運輸載具
創新醫療器材計畫(3/4),生技醫藥與精準醫療,生技醫藥與精準醫療
智財布局及戰略研析推動計畫(3/4),專利與智財,專利與智財
AI領航推動計畫(1/4),AI、雲端、巨量資料,AI、雲端、巨量資料
建置國家級人體生物資料庫整合平台(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療
離岸風場區塊開發海域環境建構計畫(2/4),能源,能源
加速肝功能量化正子造影劑之產業化(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
低碳運輸系統發展計畫(1/4),氣候變遷與減碳,氣候變遷與減碳
數位學習深耕計畫(1/4),數位學習,數位學習
商業行政資訊雲端應用擴充及效能提升計畫(1/4),數位轉型與智慧政府,數位轉型與智慧政府
錸-188MN-16ET/利比多肝癌治療新藥之開發與應用研究(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
再生能源憑證中心及檢測驗證發展計畫(2/4),能源;國家標準檢驗,能源;國家標準檢驗
台灣光子源周邊實驗設施興建計畫(1/1),科研設施,科研設施
生物技術研發成果產業化輔導計畫(2/4),食品安全與食品科技,食品安全與食品科技
新竹科學工業園區－業務推展(1/4),園區管理,園區管理
大學學習生態系統創新計畫(3/4),校園人才培育,校園人才培育
工業循環創新技術開發與應用計畫(2/4),化工材料與循環經濟,化工材料與循環經濟
能源國家型科技計畫-自主式分散型區域電力控管技術發展與應用(1/4),能源,能源
醫療器材產業加速新創與躍升國際推動計畫(2/4),生技醫藥與精準醫療,生技醫藥與精準醫療
優化中小企業科技加值應用環境之策略佈局計畫(4/4),政策規劃與推動,政策規劃與推動
智慧內容創新應用發展計畫(1/4),數位內容,數位內容
高中職學術連網全面優化頻寬提升計畫(3/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
普及國民寬頻上網環境計畫(3/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
颱風洪水研究發展計畫(1/4),災害防救,災害防救
傳統產業亮點維新計畫(3/4),傳統產業高值化,傳統產業高值化
雲世代產業數位轉型(1/4)-輔導小微型企業數位轉型及永續發展計畫,數位轉型與智慧政府,數位轉型與智慧政府
國立中科實驗高級中學維運計畫(1/1),校園人才培育,校園人才培育
紡織產業科技發展綱要計畫(材料化工之民生應用產業發展綱要計畫)(1/4),化工材料與循環經濟,化工材料與循環經濟
創新前瞻技術研究綱要計畫(2/4),工研院與A+,
放射性廢棄物貯存與處置安全管制技術發展(3/4),能源,能源
技術服務業發展計畫(3/4),設計,設計
促進健康老化(Healthy Aging)及產業升級：新藥及保健食品之研發(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
推動數位經濟發展之通訊傳播匯流政策及法制革新計畫(1/5),政策規劃與推動,政策規劃與推動
因應食安五環建構校園午餐之農安監控及供應體系(2/4)-健全科技支援體系,食品安全與食品科技,食品安全與食品科技
新世代農業生物保護劑之開發(2/4),農業,農業
國家生技研究園區開發計畫(3/6),生技醫藥與精準醫療,生技醫藥與精準醫療
能源國家型科技計畫-再生能源產業推動計畫(2/4),能源,能源
次世代環境智能系統技術研發與應用推動計畫(2/4),虛擬實境;物聯網,虛擬實境;物聯網
新世代化學材料產業輔導與推廣計畫(1/4),化工材料與循環經濟,化工材料與循環經濟
氣象資訊之智慧應用服務計畫(I)(4/4),災害防救,災害防救
金屬產業發展推動計畫(1/4),傳統產業高值化,傳統產業高值化
材料與化工產業發展優化計畫(1/4),化工材料與循環經濟,化工材料與循環經濟
產業結構優化躍升計畫(4/4),中小（堅）企業輔導,中小（堅）企業輔導
建築資訊整合分享與應用研發推廣計畫(1/4)-Building Information Modeling,災害防救,災害防救
建構高值化農產素材開發與產業鏈結服務計畫(2/4),食品安全與食品科技,食品安全與食品科技
人工智慧技術拔尖與產業領航計畫(3/4),AI、雲端、巨量資料,AI、雲端、巨量資料
中小企業服務優化與特色加值計畫(3/4),中小（堅）企業輔導,中小（堅）企業輔導
資通訊軟體創新人才推升計畫(1/4),AI、雲端、巨量資料;產業人才培育,AI、雲端、巨量資料;產業人才培育
網路社群創新型服務發展計畫(3/4),電商與物流,電商與物流
數位內容跨域創新應用推動計畫(3/4),數位內容,數位內容
台灣罕病及難症之診斷治療與藥物開發(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
臺灣經典電影數位修復及加值利用計畫(1/4),數位內容,數位內容
機械與運輸產業科技發展綱要計畫(4/4),傳統產業高值化;運輸載具,傳統產業高值化;運輸載具
發展畜禽產業加值及永續友善環境綱要計畫(1/4),農業,農業
數據創新服務生態系推動計畫(4/4),AI、雲端、巨量資料,AI、雲端、巨量資料
生醫科技研發與驗證計畫(1/4),生技醫藥與精準醫療,生技醫藥與精準醫療
我國產業政策研究規劃及推動計畫(3/4),政策規劃與推動,政策規劃與推動
亞洲．矽谷試驗場域計畫(3/4),創新創業,創新創業
再生水資源創新膜材及系統開發與驗證綱要計畫(4/4),化工材料與循環經濟,化工材料與循環經濟
校園無線網路環境建置計畫(原計畫名稱：校園雲端環境建置計畫)(4/4),網路通訊/4G/5G/5G+/6G,網路通訊/4G/5G/5G+/6G
產業永續發展計畫(2/4),氣候變遷與減碳,氣候變遷與減碳
創新循環綠建築環境科技計畫(2/4),氣候變遷與減碳,氣候變遷與減碳
加速行動寬頻服務及產業發展計畫(3/3)-建構相關APP行動商務與本土數位內容計畫,數位內容,數位內容
國家科技發展創新及前瞻策略先期推動計畫(1/1),政策規劃與推動,政策規劃與推動
基礎語文及多元文化能力培育計畫(1/4),校園人才培育,校園人才培育
韌性防災與氣候變遷水環境風險評估研究(1/4),災害防救,災害防救
輻射災害防救與應變技術之研究發展(4/4),災害防救,災害防救
跨虛實科技人文計算平台(2/4),AI、雲端、巨量資料;虛擬實境,AI、雲端、巨量資料;虛擬實境
健康雲跨領域研究:巨量健康資訊科技之研發與應用(4/4),生技醫藥與精準醫療,生技醫藥與精準醫療
推動客家雲端服務暨建立基礎資料計畫(2/3),數位轉型與智慧政府,數位轉型與智慧政府
生技醫藥國家型科技計畫-核心設施及產業推動(4/6),生技醫藥與精準醫療,生技醫藥與精準醫療
